	div	mean.sim.div	Lon	Lat	envir
977	3.583518938	4.02322602	-61	-16.7	30.06374629
978	3.555348061	4.048992382	-60	-16.7	29.50366196
979	3.496507561	4.015219467	-59	-16.7	29.63305837
980	3.465735903	3.99403898	-58	-16.7	30.30042596
981	3.401197382	3.937075434	-57	-16.7	30.66615653
982	3.433987204	4.017130873	-56	-16.7	29.72254748
983	3.526360525	4.069536351	-55	-16.7	28.98244839
984	3.555348061	4.109671288	-54	-16.7	28.22921964
985	3.526360525	4.207060018	-53	-16.7	25.88937323
986	3.526360525	4.326762819	-52	-16.7	21.06300813
987	3.465735903	4.362992268	-51	-16.7	18.47387065
988	3.465735903	4.363941161	-50	-16.7	18.04542861
989	3.465735903	4.341899015	-49	-16.7	18.93219999
990	3.496507561	4.242004647	-48	-16.7	23.6450625
991	3.433987204	4.180449364	-47	-16.7	25.52675232
992	3.465735903	4.174279835	-46	-16.7	26.11482359
993	3.526360525	4.103932194	-45	-16.7	28.1234912
994	3.555348061	4.185960699	-44	-16.7	25.25811225
995	3.583518938	4.14006655	-43	-16.7	26.75247665
996	3.63758616	4.107471725	-42	-16.7	27.44800394
997	3.663561646	4.096745994	-41	-16.7	27.95729714
998	3.663561646	4.176896293	-40	-16.7	25.16240383
999	3.663561646	4.204157472	-39.2	-16.7	23.8560011
1000	3.044522438	2.799586973	-67	-17.7	41.75606794
1001	3.610917913	3.525177925	-66	-17.7	36.5024701
1002	3.688879454	3.839572794	-65	-17.7	33.07648856
1003	3.713572067	3.942412639	-64	-17.7	31.38258765
1004	3.663561646	3.409993603	-63	-17.7	37.56511003
1005	3.496507561	3.460641984	-62	-17.7	36.21983656
1006	3.36729583	3.643809094	-61	-17.7	33.81313247
1007	3.295836866	3.677191595	-60	-17.7	32.90545726
1008	3.218875825	3.715661476	-59	-17.7	32.27125938
1009	3.33220451	3.737620102	-58	-17.7	32.52849736
1010	3.401197382	3.695238936	-57	-17.7	33.38175352
1011	3.496507561	3.761839358	-56	-17.7	33.17513389
1012	3.465735903	3.907724127	-55	-17.7	30.98783359
1013	3.465735903	4.052521448	-54	-17.7	28.52342802
1014	3.496507561	4.197205773	-53	-17.7	25.13510792
1015	3.496507561	4.279033486	-52	-17.7	22.1767847
1016	3.433987204	4.310215664	-51	-17.7	20.0323286
1017	3.465735903	4.281461512	-50	-17.7	21.48143016
1018	3.465735903	4.198218138	-49	-17.7	24.79114497
1019	3.465735903	4.135405755	-48	-17.7	26.37102502
1020	3.433987204	4.171111964	-47	-17.7	25.26502261
